customer_id,name,governorate,contract_type,tenure_months,consumption_kwh,monthly_charges,payment_arrears,complaints_count,meter_reading_issues,fraud_flag
EGY00000065,عمر صالح,الشرقية,سكني,32,124.78,78.08,10,1,0,1
EGY00000066,علي صالح,المنوفية,صناعي,51,4814.49,4660.27,0,0,0,0
EGY00000067,أمل حسن,جنوب سيناء,صناعي,14,202.69,160.25,5,0,1,1
EGY00000068,أمل محمد,الجيزة,تجاري,9,1002.16,1257.59,0,0,0,0
EGY00000069,شريف الشريف,الإسكندرية,صناعي,85,5283.66,5095.29,0,0,4,0
EGY00000070,سارة السيد,الدقهلية,سكني,58,982.03,697.73,0,1,0,0
EGY00000071,خالد حسين,المنيا,صناعي,15,472.62,284.34,0,0,0,1
EGY00000072,عمر صالح,القاهرة,زراعي,8,1002.9,489.21,0,3,0,0
EGY00000073,كريم فهمي,كفر الشيخ,سكني,63,580.98,426.12,0,0,0,0
EGY00000074,إبراهيم السيد,الإسماعيلية,تجاري,81,610.96,355.03,0,0,0,1
EGY00000075,أحمد البدوي,كفر الشيخ,سكني,18,582.93,472.83,0,1,0,0
EGY00000076,كريم عثمان,مطروح,سكني,10,421.88,187.57,8,2,0,1
EGY00000077,سارة نصر,الجيزة,سكني,5,439.56,307.32,0,0,0,0
EGY00000078,هدى علي,الأقصر,سكني,14,634.23,486.58,0,0,0,0
EGY00000079,علي الشريف,الدقهلية,سكني,57,770.9,555.61,0,0,0,0
EGY00000080,عادل البدوي,المنيا,سكني,5,420.49,372.24,0,0,0,0
EGY00000081,أحمد الجمال,المنوفية,سكني,34,87.07,44.93,0,0,0,1
EGY00000082,رنا البدوي,الإسكندرية,سكني,82,200.84,182.37,0,0,0,0
EGY00000083,عمر السيد,الأقصر,سكني,120,936.44,673.23,6,6,0,0
EGY00000084,يوسف المصري,الإسماعيلية,تجاري,31,1267.5,1560.4,0,6,4,0
EGY00000085,محمود سالم,المنيا,سكني,5,245.07,91.9,0,0,0,1
EGY00000086,وليد علي,سوهاج,سكني,6,67.67,39.73,0,5,0,1
EGY00000087,رنا حسن,القاهرة,سكني,34,991.84,681.09,1,4,2,0
EGY00000088,هدى المصري,الإسكندرية,سكني,18,281.46,216.04,6,0,3,0
EGY00000089,عادل علي,الشرقية,حكومي,7,2415.43,2017.67,11,6,0,0
EGY00000090,خالد صالح,المنوفية,سكني,21,552.45,397.67,0,0,0,0
EGY00000091,مصطفى الجمال,الوادي الجديد,سكني,83,488.38,364.07,0,0,3,0
EGY00000092,محمد فهمي,جنوب سيناء,تجاري,48,2155.95,2670.23,0,0,1,0
EGY00000093,حسن إبراهيم,كفر الشيخ,حكومي,6,1830.67,781.42,0,0,0,1
EGY00000094,حسن فهمي,الغربية,سكني,62,234.93,191.04,0,4,0,0
EGY00000095,دينا السيد,الشرقية,سكني,47,844.12,645.4,3,4,0,0
EGY00000096,طارق المصري,دمياط,سكني,16,920.67,629.56,0,0,0,0
EGY00000097,عادل أحمد,الأقصر,سكني,4,811.08,549.04,0,3,4,0
EGY00000098,رامي المصري,الإسكندرية,سكني,38,490.89,164.25,10,0,0,1
EGY00000099,وليد إبراهيم,الجيزة,سكني,7,267.77,117.08,0,1,3,1
EGY00000100,خالد صالح,السويس,زراعي,56,1484.44,725.25,0,0,0,0
EGY00000101,أمل محمد,أسوان,تجاري,24,530.5,371.26,11,0,2,1
EGY00000102,عادل إبراهيم,القليوبية,سكني,32,332.53,114.62,0,0,0,1
EGY00000103,عائشة البدوي,أسوان,سكني,120,288.92,279.64,0,0,0,0
EGY00000104,إبراهيم أحمد,أسوان,سكني,9,159.14,185.48,0,0,0,0
EGY00000105,ماجد أحمد,كفر الشيخ,سكني,22,239.72,190.37,0,0,0,0
EGY00000106,يوسف حسن,بني سويف,سكني,72,42.61,62.74,10,0,0,1
EGY00000107,عادل عباس,بني سويف,تجاري,1,183.29,151.48,0,0,0,1
EGY00000108,ماجد الشريف,بورسعيد,تجاري,10,2009.51,2463.18,0,0,0,0
EGY00000109,هشام عبدالرحمن,الدقهلية,زراعي,40,1203.86,629.59,0,0,3,0
EGY00000110,كريم عثمان,أسيوط,سكني,5,210.74,104.78,2,5,0,1
EGY00000111,هشام الشريف,جنوب سيناء,حكومي,19,4605.27,3715.43,0,0,0,0
EGY00000112,سامي حسن,الغربية,سكني,74,767.52,574.79,0,1,0,0
EGY00000113,شريف خليل,المنيا,صناعي,19,6943.1,6670.6,0,6,2,0
EGY00000114,ماجد صالح,المنوفية,سكني,63,686.28,532.46,0,1,0,0
EGY00000115,هشام الشريف,بني سويف,سكني,9,325.66,282.33,0,0,2,0
EGY00000116,عبدالله حسين,المنوفية,سكني,25,142.27,125.78,0,5,0,0
EGY00000117,علي المصري,الفيوم,سكني,49,493.47,414.0,0,2,0,0
EGY00000118,مريم فهمي,بني سويف,سكني,47,342.92,286.09,0,6,0,0
EGY00000119,حسن المصري,الفيوم,حكومي,7,4648.38,3747.23,1,0,0,0
EGY00000120,عمر أحمد,الدقهلية,سكني,3,51.12,52.46,9,2,0,1
EGY00000121,عائشة عثمان,القليوبية,سكني,4,501.41,360.72,0,1,0,0
EGY00000122,هدى حسن,أسيوط,سكني,29,864.28,601.75,8,1,0,0
EGY00000123,عبدالله المصري,المنيا,صناعي,25,3553.14,1864.32,0,5,0,1
EGY00000124,محمد نصر,الجيزة,تجاري,14,1929.29,2394.75,0,3,2,0
EGY00000125,كريم السيد,جنوب سيناء,سكني,3,428.23,343.2,0,0,0,0
EGY00000126,طارق عثمان,بني سويف,سكني,24,177.24,98.36,11,0,0,1
EGY00000127,شريف حسن,بورسعيد,سكني,36,119.14,167.42,10,2,0,0
EGY00000128,هدى سالم,مطروح,صناعي,28,303.99,199.36,3,0,0,1
EGY00000129,مريم سالم,الإسماعيلية,سكني,12,759.04,513.65,0,0,0,0
EGY00000130,زينب حسين,أسوان,سكني,23,69.22,51.13,0,2,0,1
EGY00000131,خالد الجمال,الإسماعيلية,تجاري,41,2359.36,2921.97,0,5,0,0
EGY00000132,أمل محمد,البحر الأحمر,سكني,34,854.04,593.57,2,0,3,0
EGY00000133,زينب البدوي,كفر الشيخ,سكني,64,526.79,251.17,0,0,0,1
EGY00000134,نور صالح,بورسعيد,تجاري,9,1285.07,1601.38,0,0,0,0
EGY00000135,هدى خليل,سوهاج,تجاري,120,1463.76,1822.92,3,0,0,0
EGY00000136,هشام عبدالرحمن,جنوب سيناء,صناعي,4,2651.73,1743.18,3,0,0,1
EGY00000137,هدى الجمال,الإسماعيلية,سكني,48,143.91,156.15,0,0,0,0
EGY00000138,وليد الشريف,الفيوم,سكني,118,564.47,459.43,0,5,4,0
EGY00000139,هشام السيد,الإسماعيلية,سكني,31,817.68,604.17,0,0,1,0
EGY00000140,يوسف خليل,الشرقية,سكني,69,195.25,202.83,9,0,0,0
EGY00000141,علي صالح,بورسعيد,تجاري,8,455.46,373.95,10,0,2,1
EGY00000142,رنا السيد,أسيوط,صناعي,65,9813.74,9393.6,0,0,0,0
EGY00000143,سارة حسين,دمياط,تجاري,11,142.38,225.44,0,0,2,0
EGY00000144,سامي محمد,المنوفية,سكني,67,719.1,492.84,0,0,2,0
EGY00000145,عادل حسن,شمال سيناء,صناعي,13,552.85,614.93,6,6,0,0
EGY00000146,خالد نصر,شمال سيناء,سكني,120,345.44,147.5,4,4,3,1
EGY00000147,يوسف حسن,سوهاج,سكني,1,133.14,75.54,0,0,3,1
EGY00000148,نور نصر,سوهاج,سكني,4,285.19,141.35,0,3,2,1
EGY00000149,وليد صالح,أسوان,سكني,19,771.25,537.34,0,1,0,0
EGY00000150,عادل نصر,بورسعيد,تجاري,73,107.18,103.38,2,3,2,1
EGY00000151,أمل صالح,أسيوط,تجاري,1,1207.5,1478.39,5,2,0,0
EGY00000152,سارة صالح,الدقهلية,تجاري,5,247.68,363.77,0,0,0,0
EGY00000153,رامي المصري,الغربية,تجاري,12,445.2,293.59,11,1,0,1
EGY00000154,سارة الشريف,شمال سيناء,تجاري,43,391.39,275.42,6,3,0,1
EGY00000155,سامي سالم,الغربية,سكني,35,179.08,164.45,10,2,0,0
EGY00000156,فاطمة فهمي,المنوفية,سكني,2,720.52,552.38,0,0,0,0
EGY00000157,يوسف حسين,الإسكندرية,سكني,9,128.43,178.37,0,0,0,0
EGY00000158,عبدالله علي,دمياط,سكني,2,651.03,481.92,0,2,0,0
EGY00000159,أمل صالح,أسيوط,سكني,39,573.76,451.47,0,0,3,0
EGY00000160,رامي عباس,أسيوط,سكني,4,297.29,291.31,0,0,0,0
EGY00000161,رنا محمد,المنيا,صناعي,15,2624.91,1401.23,0,3,0,1
EGY00000162,سارة محمد,شمال سيناء,سكني,4,301.68,153.73,0,0,0,1
EGY00000163,مريم عباس,بني سويف,سكني,68,268.03,101.95,0,6,4,1
EGY00000164,أمل الجمال,أسوان,تجاري,34,584.52,771.26,0,2,2,0
EGY00000165,عمر عباس,المنوفية,سكني,36,435.56,344.13,3,4,3,0
EGY00000166,فاطمة حسين,قنا,سكني,20,633.63,478.21,0,0,0,0
EGY00000167,نور إبراهيم,مطروح,سكني,40,108.13,137.36,0,1,2,0
EGY00000168,ماجد حسين,بورسعيد,سكني,33,497.82,370.06,0,0,0,0
EGY00000169,محمد علي,البحر الأحمر,سكني,22,953.73,660.12,0,0,0,0
EGY00000170,شريف صالح,السويس,سكني,17,734.85,533.36,0,5,0,0
EGY00000171,مريم عثمان,الدقهلية,سكني,72,210.67,175.43,0,0,0,0
EGY00000172,فاطمة حسين,البحيرة,سكني,2,91.74,69.93,0,0,0,1
EGY00000173,رامي عباس,الغربية,تجاري,24,1434.26,1761.45,0,0,0,0
EGY00000174,سارة محمد,الغربية,تجاري,27,430.15,611.36,0,0,0,0
EGY00000175,عائشة الشريف,مطروح,سكني,48,183.24,95.48,0,0,0,1
EGY00000176,محمود أحمد,السويس,سكني,120,878.15,652.28,0,0,0,0
EGY00000177,يوسف السيد,شمال سيناء,سكني,5,227.77,154.44,4,3,2,1
EGY00000178,إبراهيم الشريف,الوادي الجديد,سكني,2,98.14,98.27,9,5,1,1
EGY00000179,حسن البدوي,الشرقية,سكني,21,178.03,82.45,9,0,1,1
EGY00000180,عمر فؤاد,البحيرة,سكني,19,160.5,75.64,0,0,0,1
EGY00000181,كريم حسن,الدقهلية,سكني,40,567.17,427.0,0,0,0,0
EGY00000182,مصطفى حسن,شمال سيناء,تجاري,1,1327.29,1661.38,0,0,0,0
EGY00000183,مصطفى البدوي,البحر الأحمر,سكني,53,52.79,59.68,2,3,0,1
EGY00000184,مريم حسين,الإسماعيلية,صناعي,95,6211.78,5963.04,0,6,0,0
EGY00000185,رنا الشريف,دمياط,سكني,40,459.91,397.08,3,0,0,0
EGY00000186,مصطفى الجمال,القليوبية,تجاري,63,1730.81,2105.52,0,0,3,0
EGY00000187,رنا أحمد,جنوب سيناء,سكني,31,436.16,345.62,0,4,0,0
EGY00000188,طارق فؤاد,بني سويف,سكني,5,681.95,477.25,0,5,1,0
EGY00000189,فاطمة محمد,الإسكندرية,سكني,17,347.33,311.57,8,0,0,0
EGY00000190,حسن عباس,أسيوط,تجاري,20,1449.2,1772.48,0,0,0,0
EGY00000191,رامي صالح,بني سويف,سكني,49,111.17,68.36,7,0,0,1
EGY00000192,خالد نصر,دمياط,سكني,36,708.26,515.78,0,0,0,0
EGY00000193,هشام فهمي,السويس,سكني,22,620.55,445.29,11,4,4,0
EGY00000194,زينب البدوي,شمال سيناء,سكني,3,409.2,335.36,0,3,0,0
EGY00000195,يوسف علي,الغربية,سكني,22,319.32,132.13,5,0,0,1
EGY00000196,يوسف صالح,الغربية,صناعي,8,4518.89,4339.63,0,0,0,0
EGY00000197,مريم عثمان,البحر الأحمر,سكني,32,191.56,113.17,0,5,0,1
EGY00000198,فاطمة عبدالرحمن,القاهرة,سكني,16,237.17,253.56,0,6,0,0
EGY00000199,هشام المصري,قنا,سكني,95,452.62,200.33,0,5,0,1
EGY00000200,دينا المصري,الفيوم,سكني,7,178.85,85.91,0,0,0,1
EGY00000201,عبدالله علي,أسوان,سكني,63,547.27,455.1,0,2,0,0
EGY00000202,سارة فهمي,المنوفية,تجاري,69,1650.9,2043.68,0,2,0,0
EGY00000203,سارة خليل,شمال سيناء,سكني,47,130.26,91.68,0,0,3,1
EGY00000204,علي سالم,سوهاج,تجاري,37,420.16,596.05,9,0,0,0
EGY00000205,يوسف سالم,المنوفية,سكني,64,161.36,126.95,0,6,0,0
EGY00000206,سارة فهمي,الإسماعيلية,سكني,6,294.43,260.95,4,0,0,0
EGY00000207,كريم فهمي,الأقصر,سكني,38,282.16,123.75,0,0,2,1
EGY00000208,نور المصري,الفيوم,سكني,21,230.39,147.15,0,0,2,1
EGY00000209,حسن السيد,كفر الشيخ,سكني,61,483.48,344.72,0,0,0,0
EGY00000210,أمل عبدالرحمن,الفيوم,سكني,79,844.78,627.8,0,0,0,0
EGY00000211,سارة المصري,البحيرة,سكني,53,176.29,81.6,0,0,0,1
EGY00000212,وليد نصر,مطروح,سكني,9,56.93,46.48,0,0,2,1
EGY00000213,حسن السيد,بورسعيد,سكني,25,319.13,279.57,0,0,0,0
EGY00000214,خالد سالم,كفر الشيخ,سكني,60,95.51,101.22,0,2,1,1
EGY00000215,إبراهيم المصري,القاهرة,تجاري,3,1616.51,2031.43,0,4,4,0
EGY00000216,أمل سالم,الجيزة,زراعي,37,547.19,132.27,0,0,0,1
EGY00000217,محمود خليل,دمياط,حكومي,4,4451.3,3609.3,3,0,0,0
EGY00000218,رنا سالم,القليوبية,صناعي,13,535.01,282.63,0,3,0,1
EGY00000219,فاطمة عبدالرحمن,قنا,سكني,1,101.38,87.71,0,1,3,1
EGY00000220,شريف خليل,الجيزة,سكني,28,202.56,190.55,0,5,0,0
EGY00000221,مريم خليل,القليوبية,تجاري,92,2234.59,2719.48,0,2,0,0
EGY00000222,طارق أحمد,الإسكندرية,سكني,17,316.62,235.53,0,0,0,0
EGY00000223,رنا سالم,الشرقية,سكني,8,332.59,279.7,8,2,3,0
EGY00000224,حسن فهمي,الإسكندرية,زراعي,37,1084.24,522.1,0,6,0,0
EGY00000225,دينا الجمال,شمال سيناء,سكني,29,234.79,136.53,6,0,0,1
EGY00000226,مريم صالح,المنوفية,تجاري,6,784.36,1006.44,0,0,1,0
EGY00000227,رنا عباس,سوهاج,سكني,43,767.54,589.42,9,2,0,0
EGY00000228,أحمد الجمال,كفر الشيخ,سكني,12,759.76,563.13,0,2,0,0
EGY00000229,وليد السيد,مطروح,سكني,8,855.97,642.99,0,4,0,0
EGY00000230,طارق علي,السويس,سكني,1,211.15,120.96,5,0,0,1
EGY00000231,أمل علي,الدقهلية,سكني,22,101.69,100.37,8,0,0,0
EGY00000232,نور الجمال,الدقهلية,سكني,2,886.84,637.25,0,0,0,0
EGY00000233,يوسف سالم,قنا,سكني,47,258.11,96.0,0,0,0,1
EGY00000234,شريف صالح,دمياط,سكني,14,983.77,676.24,0,0,0,0
EGY00000235,ماجد المصري,الإسكندرية,تجاري,63,642.47,820.68,0,0,0,0
EGY00000236,رنا السيد,جنوب سيناء,تجاري,3,1563.21,1958.7,11,6,0,0
EGY00000237,يوسف إبراهيم,أسيوط,سكني,5,282.64,248.96,0,3,0,0
EGY00000238,علي أحمد,الغربية,تجاري,120,2238.12,2768.35,0,6,1,0
EGY00000239,دينا البدوي,الدقهلية,تجاري,3,1100.91,1416.09,10,5,0,0
EGY00000240,نور سالم,كفر الشيخ,سكني,45,400.71,170.94,0,0,3,1
EGY00000241,عمر نصر,دمياط,سكني,6,43.57,33.97,8,0,0,1
EGY00000242,علي الجمال,أسوان,سكني,56,167.08,89.78,6,0,2,1
EGY00000243,كريم عثمان,الجيزة,صناعي,6,316.05,373.35,0,0,0,0
EGY00000244,علي الشريف,بورسعيد,سكني,120,450.39,198.72,0,2,4,1
EGY00000245,رنا البدوي,الإسماعيلية,تجاري,8,520.94,646.89,0,0,4,0
EGY00000246,طارق المصري,القاهرة,زراعي,46,1570.78,745.04,0,0,0,0
EGY00000247,وليد عبدالرحمن,البحر الأحمر,سكني,19,228.26,124.18,0,1,0,1
EGY00000248,نور المصري,قنا,سكني,69,590.89,409.06,0,0,0,0
EGY00000249,زينب خليل,الدقهلية,زراعي,26,652.64,234.44,10,3,4,1
EGY00000250,زينب عثمان,الإسكندرية,سكني,1,604.16,472.76,0,4,3,0
EGY00000251,شريف عبدالرحمن,الفيوم,تجاري,30,998.68,1282.28,0,0,0,0
EGY00000252,سارة سالم,الفيوم,سكني,17,276.05,214.37,0,0,0,0
EGY00000253,رامي فهمي,الإسماعيلية,حكومي,4,2436.23,2042.19,0,5,0,0
EGY00000254,فاطمة المصري,الجيزة,سكني,28,426.79,369.19,0,4,0,0
EGY00000255,وليد حسين,الفيوم,سكني,7,759.37,579.22,0,0,0,0
EGY00000256,محمد فهمي,الأقصر,تجاري,14,1057.59,802.14,6,1,2,1
EGY00000257,عبدالله نصر,سوهاج,سكني,15,276.66,171.69,10,0,0,1
EGY00000258,سارة صالح,بني سويف,سكني,3,989.26,735.12,9,2,0,0
EGY00000259,عمر فهمي,شمال سيناء,سكني,38,131.68,73.85,0,0,4,1
EGY00000260,نور خليل,الشرقية,صناعي,10,6546.36,6288.72,0,0,0,0
EGY00000261,محمود الجمال,القليوبية,سكني,16,281.67,108.59,11,3,0,1
EGY00000262,خالد سالم,جنوب سيناء,سكني,7,374.78,280.62,1,3,0,0
EGY00000263,زينب علي,أسوان,سكني,2,809.6,599.44,0,6,1,0
EGY00000264,ماجد حسن,المنوفية,زراعي,11,246.3,70.78,11,0,0,1
EGY00000265,محمود إبراهيم,سوهاج,حكومي,20,5516.65,4455.72,11,0,0,0
EGY00000266,مصطفى نصر,قنا,حكومي,71,5892.61,4783.8,0,2,0,0
EGY00000267,رامي خليل,دمياط,سكني,30,296.6,222.41,0,0,0,0
EGY00000268,أمل إبراهيم,قنا,سكني,3,271.38,132.79,0,0,0,1
EGY00000269,دينا نصر,المنيا,سكني,33,903.07,621.82,0,2,0,0
EGY00000270,شريف علي,مطروح,صناعي,3,7912.69,7582.93,0,6,0,0
EGY00000271,شريف عباس,الغربية,تجاري,39,1308.05,1592.27,0,0,0,0
EGY00000272,هدى المصري,الفيوم,حكومي,74,2404.45,981.67,0,5,0,1
EGY00000273,كريم سالم,الوادي الجديد,سكني,7,313.69,264.89,0,6,0,0
EGY00000274,طارق خليل,الوادي الجديد,سكني,4,640.59,495.87,0,0,0,0
EGY00000275,سارة فؤاد,الشرقية,سكني,26,525.24,365.06,0,0,0,0
EGY00000276,أمل حسين,الفيوم,سكني,6,522.77,395.6,0,5,0,0
EGY00000277,شريف السيد,سوهاج,حكومي,24,105.26,84.14,0,0,1,1
EGY00000278,مريم الشريف,دمياط,سكني,31,356.11,316.93,0,0,1,0
EGY00000279,فاطمة خليل,شمال سيناء,سكني,28,292.62,115.5,7,5,0,1
EGY00000280,مريم حسين,دمياط,صناعي,48,7212.45,6948.15,5,0,0,0
EGY00000281,محمود إبراهيم,الإسماعيلية,تجاري,47,363.32,486.69,7,1,0,0
EGY00000282,إبراهيم نصر,قنا,حكومي,22,518.95,441.57,0,0,0,0
EGY00000283,حسن صالح,البحر الأحمر,سكني,16,386.0,211.81,9,3,0,1
EGY00000284,نور محمد,القليوبية,سكني,47,47.16,40.53,0,6,2,1
EGY00000285,شريف إبراهيم,مطروح,سكني,31,756.26,563.75,0,0,0,0
EGY00000286,عمر عثمان,الإسكندرية,سكني,68,375.68,327.31,0,0,0,0
EGY00000287,محمود علي,بورسعيد,تجاري,22,327.41,484.06,3,0,0,0
EGY00000288,شريف فهمي,الفيوم,صناعي,1,5165.65,4940.61,0,0,0,0
EGY00000289,محمود خليل,المنيا,حكومي,38,2335.57,1888.99,0,4,0,0
EGY00000290,علي الشريف,أسوان,سكني,18,428.13,315.72,11,0,0,0
EGY00000291,مصطفى الشريف,السويس,تجاري,120,743.9,388.4,0,5,2,1
EGY00000292,حسن حسن,مطروح,سكني,2,512.67,376.38,0,0,0,0
EGY00000293,مصطفى محمد,سوهاج,سكني,83,461.47,190.34,0,5,0,1
EGY00000294,أحمد سالم,الجيزة,سكني,6,276.74,169.57,0,6,0,1
EGY00000295,إبراهيم الشريف,بني سويف,سكني,21,155.56,112.57,0,0,0,1
EGY00000296,طارق عبدالرحمن,الأقصر,سكني,16,540.01,403.15,0,0,0,0
EGY00000297,دينا حسين,الدقهلية,سكني,120,142.08,84.66,8,0,3,1
EGY00000298,سارة البدوي,بورسعيد,تجاري,10,187.36,304.5,5,0,0,0
EGY00000299,محمود المصري,الشرقية,سكني,29,954.2,681.26,0,1,4,0
EGY00000300,محمد صالح,سوهاج,سكني,4,149.52,81.96,6,0,0,1
EGY00000301,خالد علي,كفر الشيخ,تجاري,25,1484.87,1849.16,0,6,0,0
EGY00000302,رنا سالم,سوهاج,حكومي,60,1860.77,1527.84,0,4,0,0
EGY00000303,سامي المصري,السويس,حكومي,14,212.78,228.38,0,0,1,0
EGY00000304,عبدالله حسين,سوهاج,تجاري,42,1985.53,2429.31,6,0,0,0
EGY00000305,مريم البدوي,قنا,سكني,48,180.83,137.73,0,3,4,0
EGY00000306,سامي سالم,بني سويف,سكني,2,839.73,630.56,0,5,0,0
EGY00000307,طارق حسين,القاهرة,زراعي,78,347.65,113.47,8,0,0,1
EGY00000308,شريف أحمد,الغربية,سكني,36,713.57,492.86,0,5,3,0
EGY00000309,رامي سالم,بورسعيد,تجاري,67,1633.77,1997.41,0,0,0,0
EGY00000310,دينا فؤاد,شمال سيناء,تجاري,72,150.66,247.45,0,0,0,0
EGY00000311,دينا المصري,المنوفية,سكني,67,250.49,121.86,0,0,0,1
EGY00000312,وليد إبراهيم,الإسماعيلية,تجاري,73,656.44,864.85,0,6,0,0
EGY00000313,محمود أحمد,السويس,سكني,63,748.59,538.7,6,0,0,0
EGY00000314,أحمد البدوي,كفر الشيخ,تجاري,7,336.32,438.71,8,3,0,0
